 ,Area
783,0.022
784,0.003
785,0.0004082
786,0.0001531
787,0.002
788,0.005
789,0.0001531
790,0.001
791,5.102E-05
792,0.0002041
793,5.102E-05
794,0.0006633
795,0.0003571
796,0.001
797,0.0001531
798,0.0001531
799,0.0002551
800,0.001
801,0.112
802,0.0002041
803,0.001
804,0.0004082
805,0.004
806,0.03
807,0.006
808,0.009
809,0.0006122
810,0.0002551
811,0.0003571
812,0.065
813,0.001
814,0.0002551
815,0.0009694
816,0.148
817,0.0002041
818,0.000102
819,0.000102
820,5.102E-05
821,0.011
822,0.0002041
823,0.063
824,0.058
825,5.102E-05
826,0.000102
827,5.102E-05
828,0.0004592
829,0.049
830,0.002
831,0.0005102
832,5.102E-05
833,0.0002551
834,0.069
835,0.0002041
836,0.0003571
837,0.009
838,0.0004592
839,0.0002041
840,0.0004592
841,0.083
842,0.0002041
843,0.01
844,0.0006122
845,0.031
846,0.0005612
847,0.0007653
848,0.000102
849,0.002
850,0.0004082
851,0.001
852,0.0005102
853,0.005
854,0.0001531
855,0.003
856,0.0001531
857,0.0004592
858,0.0007653
859,0.0002041
860,0.0001531
861,0.0006633
862,0.0007653
863,0.0007143
864,5.102E-05
865,0.000102
866,0.026
867,0.0001531
868,5.102E-05
869,0.148
870,0.0006633
871,0.000102
872,0.000102
873,0.0001531
874,0.001
875,0.0005612
876,0.0003061
877,0.0004592
878,0.179
879,0.0003061
880,0.005
881,0.0003571
882,0.0002041
883,0.021
884,0.1
885,0.000102
886,0.0001531
887,0.001
888,0.0002041
889,0.089
890,0.002
891,0.114
892,0.0008163
893,5.102E-05
894,0.000102
895,5.102E-05
896,0.002
897,0.000102
898,0.057
899,0.000102
900,0.006
901,5.102E-05
902,0.0002041
903,5.102E-05
904,0.11
905,0.0004592
906,0.047
907,0.001
908,0.0001531
909,0.0009184
910,5.102E-05
911,0.0008163
912,0.017
913,0.052
914,5.102E-05
915,0.0002041
916,0.0003061
917,0.0003571
918,5.102E-05
919,5.102E-05
920,0.0002551
921,5.102E-05
922,0.0001531
923,0.0002041
924,0.0003061
925,0.0001531
926,0.0004082
927,0.0002551
928,0.007
929,0.0001531
930,0.006
931,0.001
932,5.102E-05
933,0.0002041
934,0.0006122
935,0.089
936,0.0007653
937,0.0007653
938,0.0001531
939,0.0002551
940,0.002
941,0.121
942,0.0001531
943,5.102E-05
944,0.193
945,0.0006633
946,5.102E-05
947,0.0001531
948,0.158
949,0.0001531
950,0.002
951,5.102E-05
952,0.0005102
953,0.0003571
954,0.0002041
955,0.0008673
956,0.0004082
957,0.0005612
958,0.0003571
959,0.000102
960,0.001
961,0.0008673
962,0.059
963,0.000102
964,0.004
965,0.0001531
966,0.0004082
967,0.017
968,0.0002551
969,0.136
970,0.0002041
971,0.0002551
972,0.104
973,0.0001531
974,0.0002041
975,0.0004592
976,0.0001531
977,0.004
978,0.0005612
979,0.0007653
980,0.046
981,0.0002551
982,0.002
983,5.102E-05
984,5.102E-05
985,0.0002551
986,0.003
987,0.002
988,0.033
989,0.0004592
990,0.038
991,0.001
992,0.0008673
993,0.0002551
994,0.0001531
995,0.0002041
996,0.002
997,0.0002551
998,0.0005102
999,0.000102
1000,0.037
1001,0.048
1002,0.0002041
1003,0.0007653
1004,0.0002041
1005,5.102E-05
1006,0.0001531
1007,0.014
1008,0.0009694
1009,0.0002041
1010,0.0004592
1011,0.001
1012,0.0005102
1013,0.141
1014,0.0002041
1015,0.0002041
1016,0.019
1017,5.102E-05
1018,0.000102
1019,0.0006122
1020,0.07
1021,0.0001531
1022,5.102E-05
1023,0.0001531
1024,0.000102
1025,0.0001531
1026,0.0003571
1027,0.026
1028,0.0007653
1029,0.0003571
1030,0.0001531
1031,0.0007143
1032,0.0001531
1033,0.0007143
1034,0.003
1035,0.002
1036,0.104
1037,0.0004592
1038,0.048
1039,0.0002551
1040,0.0003061
1041,0.0005612
1042,0.0003061
1043,0.0003061
1044,0.000102
1045,0.000102
1046,5.102E-05
1047,0.013
1048,0.000102
1049,0.0004082
1050,0.001
1051,0.0002551
1052,0.007
1053,0.0004082
1054,5.102E-05
1055,0.0002551
1056,0.000102
1057,0.0002551
1058,5.102E-05
1059,0.0002551
1060,0.072
1061,0.0002041
1062,0.054
1063,0.0007653
1064,0.014
1065,0.000102
1066,5.102E-05
1067,0.0003571
1068,0.0003571
1069,0.0006122
1070,0.028
1071,0.0002551
1072,0.0001531
1073,0.0004082
1074,0.036
1075,0.000102
1076,0.0005102
1077,0.0004082
1078,5.102E-05
1079,0.0008163
1080,5.102E-05
1081,5.102E-05
1082,0.0006633
1083,0.001
1084,0.155
1085,0.001
1086,0.0009694
1087,0.000102
1088,0.01
1089,0.0001531
1090,0.0008163
1091,0.0001531
1092,0.0002551
1093,0.000102
1094,5.102E-05
1095,0.055
1096,0.0001531
1097,0.002
1098,0.0001531
1099,0.0007143
1100,5.102E-05
1101,0.0004082
1102,0.000102
1103,0.0008163
1104,0.071
1105,0.0002551
1106,0.0002551
1107,0.0001531
1108,0.0001531
1109,0.047
1110,0.069
1111,0.0006122
1112,0.03
1113,0.0008163
1114,0.0008163
1115,0.0006633
1116,5.102E-05
1117,0.159
1118,0.06
1119,0.000102
1120,5.102E-05
1121,0.0008673
1122,0.0003571
1123,0.037
1124,0.0006122
1125,0.000102
1126,0.0007143
1127,0.0002551
1128,0.0006633
1129,0.0006633
1130,0.000102
1131,0.0003061
1132,0.000102
1133,0.0004592
1134,0.0001531
1135,0.0009184
1136,0.0003061
1137,0.052
1138,5.102E-05
1139,0.0006633
1140,0.0005612
1141,5.102E-05
1142,0.053
1143,0.002
1144,5.102E-05
1145,0.0006122
1146,0.0004082
1147,0.000102
1148,0.0006633
1149,0.0006633
1150,0.0003571
1151,5.102E-05
1152,0.001
1153,5.102E-05
1154,0.0002041
1155,0.0004592
1156,0.0004592
1157,0.096
1158,0.0006122
1159,0.072
1160,0.083
1161,5.102E-05
1162,0.024
1163,0.0004082
1164,5.102E-05
1165,0.0005612
1166,0.002
1167,0.001
1168,5.102E-05
1169,0.0004082
1170,0.000102
1171,0.033
1172,5.102E-05
1173,0.079
1174,5.102E-05
1175,0.0004592
1176,0.0001531
1177,0.001
1178,5.102E-05
1179,0.001
1180,5.102E-05
1181,0.0003061
1182,0.0005612
1183,0.0003571
1184,0.0003061
1185,0.0001531
1186,0.015
1187,0.0009694
1188,0.0001531
1189,0.0008163
